phi_1,phi_2,dist,delfi2,dpmfi1,dpmfi2,dvel,v_err,feh,feh_err,Source
-2.7371626776432234,3.0009554316402878,9.61769684112795,3.956278965004455,-1.8951336168310584,1.0687117755369202,-17.65684542418626,2.280023683118693,-2.204943285995639,0.0651452579258204,DESI
-3.561989311811036,4.792662848826019,9.534486463057103,5.674953576181864,-0.5683692410398828,-1.6195056821036424,25.92489734997281,8.61171217107867,-1.630865821702006,0.2205401316190896,DESI
-4.938735518765154,-0.6695149460665776,9.400400676368523,0.0924279006962192,-0.1295295879915716,0.2019893043620042,1.2841187371973888,3.3395064700437875,-2.322876614814526,0.1394649889124452,DESI
-4.59577459450761,-1.1635238886659205,9.433249315014704,-0.371819601058485,0.1934704689446631,0.0441477037062828,-3.8939083769452623,3.315066522801521,-2.5134912164039425,,DESI
-5.225428717494609,-1.073064411791673,9.373219361349726,-0.3358723125869997,-0.7321039744056232,0.0332430022992166,6.932306576552463,3.472961846911671,-2.9999999860504944,0.0979752033358234,DESI
-5.862693566908828,-0.73264529333567,9.313698160166387,-0.0500107717424731,-0.3705625132249226,0.0014140434523815,-18.75984408227255,3.3529914344830734,-2.9933213840420603,0.1474464757774923,DESI
-6.080970755314071,-0.7129651496838588,9.293592993157734,-0.0488604616065083,-0.2488120111824336,0.0702348674440286,-6.785076670227738,3.317339625498787,-2.7500001516594152,0.0804945709479817,DESI
-7.116514570661874,-0.4699269573876981,9.200143383190884,0.1074995434807888,0.1535229159732241,0.3415554561119864,-7.714841094802637,11.441147988095343,-2.750000012913812,0.1865376924898574,DESI
-7.558002554824825,-0.1702168564812724,9.161260485954672,0.3709352219676027,-1.634278504814814,-0.0701555785192481,-3.748553748842852,2.999217549550059,-2.880311992754977,0.0853722619092664,DESI
-7.264990446783314,-1.8068997624977772,9.187003439720204,-1.2417208319978648,-0.0059271901620876,0.0266329851549557,-1.4012836756035227,2.024383344291611,-2.54245613856117,,DESI
-7.653727614117896,-0.6278512601269709,9.15290437405465,-0.0945062534199622,-0.0189567679233837,0.0973051281929536,-6.761396012163473,4.434278318171399,-2.632378150517376,0.1179739050734223,DESI
-8.09710894490428,-0.402368533167521,9.114544603118215,0.0950985304934775,0.5257045240488765,0.3245231530582981,9.149034095774963,9.848358301820554,-2.999999934983058,0.2166615560023856,DESI
-8.234587886230292,-0.4121203363605301,9.102764826476143,0.0743196345815842,-0.0514857130723624,-0.0185503939087667,-3.97448376854895,3.775124158443773,-2.81185786470851,,DESI
-7.999221469087038,-0.6755165568164476,9.12296493728396,-0.1701694161768897,0.0961225787962334,0.2111970269032131,-5.643875359766298,5.389488466448229,-3.071259146797847,,DESI
-8.132872489209072,1.2239954520633265,9.1114750388213,1.7185894051198751,0.8306452397303667,0.2325416796605332,-2.7832377488377915,2.4717955248149117,-2.209624784716672,,DESI
-10.398800592901589,1.9608289953957496,8.92431622889105,2.2805250027922823,-0.5088999925124433,0.2716316189810578,-2.3206115108019247,5.202980348970904,-2.3534364231913747,0.1534542948902696,DESI
-10.406618988793502,1.1579449325024898,8.923694989921607,1.4770640839569888,-1.250790475355399,-0.0678813401697817,1.2896650253191524,3.413755564495998,-2.47938924536956,0.1341361851369751,DESI
